x,y,z,w
94.10913707,91.72773168,1.175,3.5
94.38255647,92.13808693,1.18,3.5
94.5744541,92.53575575,1.185,3.5
94.71685657,92.93050003,1.19,3.5
94.83042508,93.24988709,1.195,3.5
94.89908708,93.59339319,1.2,3.5
94.91108881,93.93556808,1.205,3.5
94.89880494,94.33543538,1.21,3.5
94.86479639,94.71540105,1.215,3.5
94.80285612,95.06977894,1.22,3.5
94.71919119,95.40425519,1.225,3.5
94.60759452,95.71314366,1.23,3.5
94.48048025,96.00781668,1.235,3.5
94.33474483,96.28543116,1.24,3.5
94.16728474,96.54314402,1.245,3.5
93.9936176,96.79517071,1.25,3.5
93.79822579,97.02729578,1.255,3.5
93.58421284,97.24236232,1.26,3.5
93.3484752,97.43752723,1.265,3.5
93.10342701,97.62416288,1.27,3.5
92.83975767,97.79373999,1.275,3.5
92.55436365,97.9434155,1.28,3.5
92.25345202,98.07887555,1.285,3.5
91.92771219,98.19159089,1.29,3.5
91.58024769,98.28440462,1.295,3.5
91.18933386,98.3374151,1.3,3.5
90.79686825,98.38900404,1.305,3.5
90.37698458,98.40405571,1.31,3.5
89.99016898,98.33520041,1.315,3.5
89.62713261,98.24244883,1.32,3.5
89.29636202,98.14499542,1.325,3.5
89.00839838,98.01823668,1.33,3.5
88.66563536,97.84127711,1.335,3.5
88.39418706,97.70680777,1.34,3.5
88.10626103,97.48111008,1.345,3.5
87.83659444,97.21884616,1.35,3.5
87.66125617,97.09248163,1.355,3.5
87.43780241,96.88777925,1.36,3.5
87.09556833,96.62375081,1.365,3.5
86.81555666,96.35200995,1.37,3.5
86.64021838,96.22564541,1.375,3.5
86.41676464,96.02094302,1.38,3.5
86.08073762,95.76260078,1.385,3.5
85.79451888,95.48517372,1.39,3.5
85.62849118,95.36733844,1.395,3.5
85.40503744,95.16263606,1.4,3.5
85.06176886,94.89765995,1.405,3.5
84.79210225,94.63539603,1.41,3.5
84.60745341,94.50050223,1.415,3.5
84.38399967,94.29579984,1.42,3.5
84.0428001,94.03271912,1.425,3.5
83.75244333,93.75150128,1.43,3.5
83.58641564,93.633666,1.435,3.5
83.3629619,93.42896362,1.44,3.5
83.0196933,93.16398749,1.445,3.5
82.7500267,92.90172358,1.45,3.5
82.56537786,92.76682977,1.455,3.5
82.34192411,92.56212739,1.46,3.5
82.01934568,92.31610519,1.465,3.5
81.70624422,92.05973134,1.47,3.5
81.51640837,91.87440575,1.475,3.5
81.29295462,91.66970337,1.48,3.5
80.9589966,91.41325651,1.485,3.5
80.72344707,91.11372663,1.49,3.5
80.5605446,91.06727439,1.495,3.5
80.33709086,90.86257201,1.5,3.5
79.99175324,90.59570049,1.505,3.5
79.68691337,90.30121491,1.51,3.5
79.48364339,90.14926258,1.515,3.5
79.26018964,89.9445602,1.52,3.5
78.91899007,89.68147946,1.525,3.5
78.57433249,89.38477754,1.53,3.5
78.35087873,89.18007516,1.535,3.5
78.12742499,88.97537278,1.54,3.5
77.90180963,88.80295021,1.545,3.5
77.5917379,88.53412516,1.55,3.5
77.20787897,88.22206753,1.555,3.5
76.99515952,87.94954259,1.56,3.5
76.74357439,87.74190953,1.565,3.5
76.5539382,87.53392683,1.57,3.5
76.33048445,87.32922445,1.575,3.5
76.07941152,87.10607257,1.58,3.5
75.83752327,86.82053059,1.585,3.5
75.56234267,86.56387405,1.59,3.5
75.32852359,86.28572411,1.595,3.5
75.06017075,86.03532238,1.6,3.5
74.82573095,85.75660379,1.605,3.5
74.55799882,85.5067707,1.61,3.5
74.32293833,85.22748349,1.615,3.5
74.05582689,84.97821901,1.62,3.5
73.82014569,84.69836319,1.625,3.5
73.56110342,84.45649073,1.63,3.5
73.31735305,84.16924289,1.635,3.5
73.05148303,83.92111564,1.64,3.5
72.81766395,83.64296568,1.645,3.5
72.54931111,83.39256395,1.65,3.5
72.31487133,83.11384538,1.655,3.5
72.04713918,82.86401226,1.66,3.5
71.81207869,82.58472507,1.665,3.5
71.54496725,82.33546058,1.67,3.5
71.30928605,82.05560477,1.675,3.5
71.05024378,81.8137323,1.68,3.5
70.80649343,81.52648446,1.685,3.5
70.54062339,81.2783572,1.69,3.5
70.30370079,80.99736416,1.695,3.5
70.03845148,80.74980552,1.7,3.5
69.79470111,80.46255768,1.705,3.5
69.52883109,80.21443042,1.71,3.5
69.29501201,79.93628046,1.715,3.5
69.02665917,79.68587874,1.72,3.5
68.79221937,79.40716016,1.725,3.5
68.52448724,79.15732705,1.73,3.5
68.28942675,78.87803986,1.735,3.5
68.02231531,78.62877536,1.74,3.5
67.78663411,78.34891956,1.745,3.5
67.52759184,78.10704709,1.75,3.5
67.28384147,77.81979926,1.755,3.5
67.01797145,77.57167199,1.76,3.5
66.78415237,77.29352203,1.765,3.5
66.51579953,77.0431203,1.77,3.5
66.28135975,76.76440173,1.775,3.5
66.0136276,76.51456862,1.78,3.5
65.77856711,76.23528143,1.785,3.5
65.51145567,75.98601693,1.79,3.5
65.27577447,75.70616113,1.795,3.5
65.0167322,75.46428867,1.8,3.5
64.77298185,75.17704083,1.805,3.5
64.50711181,74.92891357,1.81,3.5
64.27018921,74.64792052,1.815,3.5
64.0049399,74.40036189,1.82,3.5
63.76118953,74.11311404,1.825,3.5
63.49531951,73.86498678,1.83,3.5
63.26150043,73.58683683,1.835,3.5
62.99314759,73.33643509,1.84,3.5
62.75870779,73.05771652,1.845,3.5
62.49097566,72.80788342,1.85,3.5
62.25591517,72.52859621,1.855,3.5
61.98880373,72.27933173,1.86,3.5
61.75312253,71.99947591,1.865,3.5
61.49408026,71.75760345,1.87,3.5
61.25032989,71.47035561,1.875,3.5
60.98445988,71.22222836,1.88,3.5
60.75064079,70.9440784,1.885,3.5
60.48228795,70.69367667,1.89,3.5
60.23853759,70.40642883,1.895,3.5
59.97266756,70.15830158,1.9,3.5
59.73884848,69.88015162,1.905,3.5
59.47049563,69.62974989,1.91,3.5
59.23605585,69.35103132,1.915,3.5
58.96832371,69.1011982,1.92,3.5
58.73326322,68.821911,1.925,3.5
58.46615178,68.57264652,1.93,3.5
58.23047059,68.2927907,1.935,3.5
57.97142832,68.05091824,1.94,3.5
57.72767795,67.7636704,1.945,3.5
57.46180794,67.51554314,1.95,3.5
57.22798885,67.23739318,1.955,3.5
56.95963601,66.98699146,1.96,3.5
56.72519621,66.70827288,1.965,3.5
56.45746408,66.45843977,1.97,3.5
56.22240359,66.17915258,1.975,3.5
55.95529215,65.92988808,1.98,3.5
55.71961095,65.65003228,1.985,3.5
55.46056868,65.40815981,1.99,3.5
55.21681832,65.12091196,1.995,3.5
54.98042961,64.89294006,2,3.5
54.75541325,64.65254617,2.005,3.5
54.48798929,64.39614336,2.01,3.5
54.21744011,64.06835754,2.015,3.5
53.98725844,63.84607181,2.02,3.5
53.77698924,63.63631757,2.025,3.5
53.53523524,63.37814345,2.03,3.5
53.22655209,63.04642087,2.035,3.5
53.02201899,62.82479136,2.04,3.5
52.79856525,62.62008898,2.045,3.5
52.57511151,62.4153866,2.05,3.5
52.35165775,62.21068421,2.055,3.5
52.02269503,61.94358679,2.06,3.5
51.62214973,61.67453947,2.065,3.5
51.29910728,61.44059981,2.07,3.5
50.99808712,61.23336016,2.075,3.5
50.6877564,61.01759123,2.08,3.5
50.38363273,60.80750849,2.085,3.5
50.08261258,60.60026883,2.09,3.5
49.807241,60.39368539,2.095,3.5
49.48131328,60.19299406,2.1,3.5
49.16093098,59.96149132,2.105,3.5
48.8855594,59.75490789,2.11,3.5
48.56229184,59.55665349,2.115,3.5
48.23924939,59.32271382,2.12,3.5
47.96387781,59.11613038,2.125,3.5
47.64061026,58.91787598,2.13,3.5
47.31756779,58.68393633,2.135,3.5
47.01654764,58.47669667,2.14,3.5
46.70621692,58.26092775,2.145,3.5
46.40209326,58.050845,2.15,3.5
46.1010731,57.84360534,2.155,3.5
45.82570151,57.63702189,2.16,3.5
45.49977381,57.43633056,2.165,3.5
45.20628148,57.20662129,2.17,3.5
44.88886629,57.01372814,2.175,3.5
44.57941299,56.76939726,2.18,3.5
44.4273186,56.56154598,2.185,3.5
44.16356244,56.45696332,2.19,3.5
43.82994445,56.18560128,2.195,3.5
43.60649069,55.98089888,2.2,3.5
43.34052083,55.74410019,2.205,3.5
43.07770877,55.43653521,2.21,3.5
42.76943765,55.11130796,2.215,3.5
42.49537475,54.7917233,2.22,3.5
42.23670794,54.42914269,2.225,3.5
41.98115551,54.10367513,2.23,3.5
41.77866249,53.79255442,2.235,3.5
41.64206402,53.53037863,2.24,3.5
41.48344137,53.28228688,2.245,3.5
41.32730155,53.03646962,2.25,3.5
41.15346078,52.74017676,2.255,3.5
41.01311638,52.40604933,2.26,3.5
40.8889103,52.08670596,2.265,3.5
40.75074921,51.78883867,2.27,3.5
40.62964666,51.47233838,2.275,3.5
40.50854411,51.1558381,2.28,3.5
40.38744156,50.83933782,2.285,3.5
40.25015478,50.50311714,2.29,3.5
40.12194916,50.1507441,2.295,3.5
39.99463956,49.82855765,2.3,3.5
39.873537,49.51205737,2.305,3.5
39.75243444,49.19555709,2.31,3.5
39.62822837,48.8762137,2.315,3.5
39.50836722,48.56085065,2.32,3.5
39.38137882,48.27321847,2.325,3.5
39.26027627,47.95671819,2.33,3.5
39.13917372,47.64021791,2.335,3.5
39.01807116,47.32371763,2.34,3.5
38.8969686,47.00721734,2.345,3.5
38.75968184,46.67099668,2.35,3.5
38.62837269,46.31578055,2.355,3.5
38.50416661,45.99643719,2.36,3.5
38.38306405,45.67993689,2.365,3.5
38.25885798,45.36059352,2.37,3.5
38.11913428,45.02703471,2.375,3.5
37.97630705,44.6906328,2.38,3.5
37.83347983,44.35423089,2.385,3.5
37.66738702,44.0307758,2.39,3.5
37.51939448,43.71248207,2.395,3.5
37.33624316,43.40765994,2.4,3.5
37.14616423,43.1079116,2.405,3.5
36.97179143,42.81113137,2.41,3.5
36.75751618,42.47779712,2.415,3.5
36.55700681,42.22559365,2.42,3.5
36.35483499,41.94902723,2.425,3.5
36.07226779,41.63592691,2.43,3.5
35.78299592,41.26203165,2.435,3.5
35.51681833,40.97577347,2.44,3.5
35.38284593,40.84162348,2.445,3.5
35.15939217,40.6369211,2.45,3.5
34.93593843,40.43221872,2.455,3.5
34.71248469,40.22751634,2.46,3.5
34.38352197,39.96041891,2.465,3.5
33.95603321,39.63732339,2.47,3.5
33.54096164,39.33539164,2.475,3.5
33.228145,39.10755683,2.48,3.5
32.86290359,38.91000518,2.485,3.5
32.43621242,38.65616038,2.49,3.5
32.08607846,38.48386841,2.495,3.5
31.78197648,38.34232561,2.5,3.5
31.46804306,38.18035637,2.505,3.5
31.15773406,38.03312739,2.51,3.5
30.80089387,37.91179201,2.515,3.5
30.40105701,37.78043383,2.52,3.5
30.08348929,37.66570957,2.525,3.5
29.73880649,37.58487713,2.53,3.5
29.39748703,37.48754862,2.535,3.5
29.02138082,37.41218973,2.54,3.5
28.64749296,37.34375732,2.545,3.5
28.26481539,37.2786928,2.55,3.5
27.85349642,37.23307041,2.555,3.5
27.43711198,37.19422762,2.56,3.5
27.02398625,37.15837007,2.565,3.5
26.64545938,37.13707798,2.57,3.5
26.1668764,37.1269062,2.575,3.5
25.73872028,37.14579962,2.58,3.5
25.31056414,37.16469304,2.585,3.5
24.90723621,37.20633116,2.59,3.5
24.51321884,37.25649856,2.595,3.5
24.13782263,37.32372448,2.6,3.5
23.76552994,37.3937935,2.605,3.5
23.40565135,37.47523487,2.61,3.5
23.05818684,37.5680486,2.615,3.5
22.7169294,37.66654849,2.62,3.5
22.38808604,37.77642076,2.625,3.5
22.06234621,37.8891361,2.63,3.5
21.74591695,38.0103807,2.635,3.5
21.43259123,38.1344684,2.64,3.5
21.13478312,38.27277155,2.645,3.5
20.84007854,38.41391778,2.65,3.5
20.54847746,38.55790711,2.655,3.5
20.2692905,38.71326877,2.66,3.5
19.99320707,38.87147353,2.665,3.5
19.72333067,39.03536448,2.67,3.5
19.46276485,39.20778468,2.675,3.5
19.20219903,39.38020489,2.68,3.5
18.94473673,39.55546818,2.685,3.5
18.68417091,39.72788838,2.69,3.5
18.41739806,39.89462242,2.695,3.5
18.14131461,40.05282718,2.7,3.5
17.86212764,40.20818886,2.705,3.5
17.5736301,40.35502126,2.71,3.5
17.27582201,40.4933244,2.715,3.5
16.98111741,40.63447064,2.72,3.5
16.67089521,40.76140143,2.725,3.5
16.35756947,40.88548912,2.73,3.5
16.02872612,40.99536137,2.735,3.5
